province,city_name,business_category,business_category_url
Ontario,Ottawa,Overhead & Garage Doors,https://www.yellowpages.ca/search/si/1/Overhead+%26+Garage+Doors/Ottawa+ON
Ontario,Ottawa,Major Appliance Stores,https://www.yellowpages.ca/search/si/1/Major+Appliance+Stores/Ottawa+ON
Ontario,Ottawa,Construction Materials & Building Supplies,https://www.yellowpages.ca/search/si/1/Construction+Materials+%26+Building+Supplies/Ottawa+ON
Ontario,Ottawa,Childcare Services,https://www.yellowpages.ca/search/si/1/Childcare+Services/Ottawa+ON
Ontario,Ottawa,"""Commercial, Industrial & Residential Cleaning""",https://www.yellowpages.ca/search/si/1/%22Commercial%2C+Industrial+%26+Residential+Cleaning%22/Ottawa+ON
Ontario,Ottawa,Hotels,https://www.yellowpages.ca/search/si/1/Hotels/Ottawa+ON
Ontario,Ottawa,Welding,https://www.yellowpages.ca/search/si/1/Welding/Ottawa+ON
Ontario,Ottawa,Florists & Flower Shops,https://www.yellowpages.ca/search/si/1/Florists+%26+Flower+Shops/Ottawa+ON
Ontario,Ottawa,Cold & Heat Insulation Contractors,https://www.yellowpages.ca/search/si/1/Cold+%26+Heat+Insulation+Contractors/Ottawa+ON
Ontario,Ottawa,Signs,https://www.yellowpages.ca/search/si/1/Signs/Ottawa+ON
Ontario,Ottawa,Auto Glass & Windshields,https://www.yellowpages.ca/search/si/1/Auto+Glass+%26+Windshields/Ottawa+ON
Ontario,Ottawa,Septic Tank Installation & Repair,https://www.yellowpages.ca/search/si/1/Septic+Tank+Installation+%26+Repair/Ottawa+ON
Ontario,Ottawa,Masonry & Bricklaying Contractors,https://www.yellowpages.ca/search/si/1/Masonry+%26+Bricklaying+Contractors/Ottawa+ON
Ontario,Ottawa,New Car Dealers,https://www.yellowpages.ca/search/si/1/New+Car+Dealers/Ottawa+ON
Ontario,Ottawa,Crane Rental & Service,https://www.yellowpages.ca/search/si/1/Crane+Rental+%26+Service/Ottawa+ON
Ontario,Ottawa,Hearing Aids,https://www.yellowpages.ca/search/si/1/Hearing+Aids/Ottawa+ON
Ontario,Ottawa,Chartered Professional Accountants (CPA),https://www.yellowpages.ca/search/si/1/Chartered+Professional+Accountants+%28CPA%29/Ottawa+ON
Ontario,Ottawa,General Rental Service,https://www.yellowpages.ca/search/si/1/General+Rental+Service/Ottawa+ON
Ontario,Ottawa,Car Repair & Service,https://www.yellowpages.ca/search/si/1/Car+Repair+%26+Service/Ottawa+ON
Ontario,Ottawa,Tire Retailers,https://www.yellowpages.ca/search/si/1/Tire+Retailers/Ottawa+ON
Ontario,Ottawa,"""Glass (Plate, Window & Door)""",https://www.yellowpages.ca/search/si/1/%22Glass+%28Plate%2C+Window+%26+Door%29%22/Ottawa+ON
Ontario,Ottawa,Scrap Metals,https://www.yellowpages.ca/search/si/1/Scrap+Metals/Ottawa+ON
Ontario,Ottawa,Transportation Service,https://www.yellowpages.ca/search/si/1/Transportation+Service/Ottawa+ON
Ontario,Ottawa,Massage Therapists,https://www.yellowpages.ca/search/si/1/Massage+Therapists/Ottawa+ON
Ontario,Ottawa,Portable Toilets,https://www.yellowpages.ca/search/si/1/Portable+Toilets/Ottawa+ON
Ontario,Ottawa,New Auto Parts & Supplies,https://www.yellowpages.ca/search/si/1/New+Auto+Parts+%26+Supplies/Ottawa+ON
Ontario,Ottawa,Opticians,https://www.yellowpages.ca/search/si/1/Opticians/Ottawa+ON
Ontario,Ottawa,Pharmacies,https://www.yellowpages.ca/search/si/1/Pharmacies/Ottawa+ON
